15S_RRNA	15S ribosomal RNA
AZF1	Azf1p
AZR1	azole transporter
BAG7	Bag7p
BAP2	branched-chain amino acid permease BAP2
BAP3	amino acid transporter BAP3
BAR1	aspartyl protease BAR1
BAS1	Bas1p
BAT1	branched-chain-amino-acid transaminase BAT1
BAT2	branched-chain-amino-acid transaminase BAT2
BBC1	Bbc1p
BBP1	Bbp1p
BCD1	Bcd1p
BCH1	exomer complex subunit
BCH2	Bch2p
BCK1	mitogen-activated protein kinase kinase kinase BCK1
BCK2	Bck2p
BCP1	protein-transporting protein BCP1
BCS1	bifunctional AAA family ATPase chaperone/translocase BCS1
BCY1	cAMP-dependent protein kinase regulatory subunit BCY1
BDF1	chromatin-binding protein BDF1
BDF2	Bdf2p
BDH1	(R,R)-butanediol dehydrogenase
BDH2	putative dehydrogenase BDH2
BDP1	transcription factor TFIIIB subunit BDP1
BDS1	sulfuric ester hydrolase
BEM1	phosphatidylinositol-3-phosphate-binding protein BEM1
BEM2	Bem2p
BEM3	Bem3p
BEM4	Bem4p
BER1	Ber1p
BET1	Bet1p
BET2	Rab geranylgeranyltransferase BET2
BET3	TRAPP complex core subunit BET3
BET4	Rab geranylgeranyltransferase BET4
BET5	TRAPP subunit BET5
BFA1	Bfa1p
BFR1	Bfr1p
BFR2	rRNA-processing protein BFR2
BGL2	glucan 1,3-beta-glucosidase
BI2	cytochrome b mRNA maturase bI2
BI3	cytochrome b mRNA maturase bI3
BI4	intron-encoded RNA maturase bI4
BIG1	Big1p
BIK1	Bik1p
BIL1	Bil1p
BIM1	microtubule-binding protein BIM1
BIO2	biotin synthase
BIO3	adenosylmethionine-8-amino-7-oxononanoate transaminase
BIO4	dethiobiotin synthase
BIO5	Bio5p
BIR1	Bir1p
BIT2	Bit2p
BIT61	Bit61p
BLI1	Bli1p
BLM10	Blm10p
BLS1	Bls1p
BMH1	14-3-3 family protein BMH1
BMH2	14-3-3 family protein BMH2
BMS1	GTPase BMS1
BMT2	25S rRNA (adenine2142-N1)-methyltransferase
BMT5	25S rRNA (uracil2634-N3)-methyltransferase
BMT6	25S rRNA (uracil2843-N3)-methyltransferase
BNA1	3-hydroxyanthranilate 3,4-dioxygenase
BNA2	dioxygenase BNA2
BNA3	kynurenine--oxoglutarate transaminase
BNA4	kynurenine 3-monooxygenase
BNA5	kynureninase
BNA6	nicotinate-nucleotide diphosphorylase (carboxylating)
BNA7	arylformamidase
BNI1	formin BNI1
BNI4	Bni4p
BNI5	Bni5p
BNR1	formin BNR1
BNS1	Bns1p
BOI1	Boi1p
BOI2	Boi2p
BOL1	Bol1p
BOL2	Bol2p
BOL3	Bol3p
BOP2	Bop2p
BOP3	Bop3p
BOR1	Bor1p
BOS1	Bos1p
BPH1	Bph1p
BPL1	biotin--[acetyl-CoA-carboxylase] ligase BPL1
BPT1	ATP-binding cassette bilirubin transporter BPT1
BRE1	E3 ubiquitin-protein ligase BRE1
BRE2	Bre2p
BRE4	Bre4p
BRE5	Bre5p
BRF1	transcription factor TFIIIB subunit BRF1
BRL1	Brl1p
BRN1	condensin subunit BRN1
BRO1	Bro1p
BRP1	Brp1p
BRR1	Brr1p
BRR2	ATP-dependent RNA helicase BRR2
BRR6	Brr6p
BRX1	Brx1p
BSC1	Bsc1p
BSC2	Bsc2p
BSC4	Bsc4p
BSC5	Bsc5p
BSC6	Bsc6p
BSD2	Bsd2p
BSP1	Bsp1p
BST1	Bst1p
BTN2	Btn2p
BTS1	farnesyltranstransferase
BTT1	CCR4-NOT core subunit BTT1
BUB1	protein kinase BUB1
BUB2	Bub2p
BUB3	Bub3p
BUD13	Bud13p
BUD14	protein phosphatase regulator BUD14
BUD16	putative pyridoxal kinase BUD16
BUD17	putative pyridoxal kinase BUD17
BUD2	Bud2p
BUD20	Bud20p
BUD21	Bud21p
BUD22	Bud22p
BUD23	18S rRNA (guanine1575-N7)-methyltransferase
BUD25	Bud25p
BUD27	Bud27p
BUD3	Bud3p
BUD31	U2 snRNP complex subunit BUD31
BUD32	serine/threonine protein kinase BUD32
BUD4	Bud4p
BUD5	Ras family guanine nucleotide exchange factor BUD5
BUD6	Bud6p
BUD7	exomer complex subunit
BUD8	Bud8p
BUD9	Bud9p
BUG1	Bug1p
