15S_RRNA	15S ribosomal RNA
COX5B	cytochrome c oxidase subunit Vb
COX6	cytochrome c oxidase subunit VI
COX7	cytochrome c oxidase subunit VII
COX8	cytochrome c oxidase subunit VIII
COX9	cytochrome c oxidase subunit VIIa
COY1	Coy1p
CPA1	carbamoyl-phosphate synthase (glutamine-hydrolyzing) CPA1
CPA2	carbamoyl-phosphate synthase (glutamine-hydrolyzing) CPA2
CPD1	2',3'-cyclic-nucleotide 3'-phosphodiesterase
CPR1	peptidylprolyl isomerase CPR1
CPR2	peptidylprolyl isomerase CPR2
CPR3	peptidylprolyl isomerase CPR3
CPR4	peptidylprolyl isomerase family protein CPR4
CPR5	peptidylprolyl isomerase family protein CPR5
CPR6	peptidylprolyl isomerase CPR6
CPR7	peptidylprolyl isomerase CPR7
CPR8	peptidylprolyl isomerase family protein CPR8
CPS1	Gly-Xaa carboxypeptidase
CPT1	diacylglycerol cholinephosphotransferase
CRC1	carnitine:acyl carnitine antiporter
CRD1	cardiolipin synthase
CRF1	Crf1p
CRG1	S-adenosylmethionine-dependent methyltransferase
CRH1	transglycosylase
CRM1	exportin CRM1
CRN1	Crn1p
CRP1	Crp1p
CRR1	putative glycosylase
CRS5	pseudo
CRT10	Crt10p
CRZ1	DNA-binding transcription factor CRZ1
CSC1	Csc1p
CSE1	importin-alpha export receptor
CSE2	Cse2p
CSE4	centromeric DNA-binding histone H3-like protein CSE4
CSF1	Csf1p
CSG2	mannosylinositol phosphorylceramide synthase regulatory subunit
CSH1	mannosylinositol phosphorylceramide synthase catalytic subunit CSH1
CSI1	Csi1p
CSI2	Csi2p
CSL4	exosome non-catalytic core subunit CSL4
CSM1	Csm1p
CSM2	Csm2p
CSM3	Csm3p
CSM4	Csm4p
CSN9	Csn9p
CSR1	Csr1p
CSR2	Csr2p
CSS1	Css1p
CSS2	Css2p
CSS3	Css3p
CST26	putative acyltransferase
CST6	Cst6p
CST9	SUMO ligase CST9
CTA1	catalase A
CTF13	Ctf13p
CTF18	Ctf18p
CTF19	Ctf19p
CTF3	Ctf3p
CTF4	chromatin-binding protein CTF4
CTF8	Ctf8p
CTH1	putative mRNA-binding protein CTH1
CTI6	Cti6p
CTK1	cyclin-dependent serine/threonine protein kinase CTK1
CTK2	Ctk2p
CTK3	Ctk3p
CTL1	polynucleotide 5'-phosphatase
CTM1	cytochrome c lysine N-methyltransferase
CTO1	Cto1p
CTP1	Ctp1p
CTR1	high-affinity Cu transporter CTR1
CTR2	low-affinity Cu transporter
CTR3	high-affinity Cu transporter CTR3
CTR86	Ctr86p
CTR9	Ctr9p
CTS1	Cts1p
CTS2	putative chitinase
CTT1	catalase T
CUB1	hypothetical protein
CUE1	Cue1p
CUE2	Cue2p
CUE3	Cue3p
CUE4	Cue4p
CUE5	ubiquitin-binding protein CUE5
CUL3	cullin CUL3
CUP1-1	metallothionein CUP1
CUP1-2	metallothionein CUP1
CUP2	Cup2p
CUP9	Cup9p
CUR1	Cur1p
CUS1	U2 snRNP complex subunit CUS1
CUS2	U2 snRNP complex subunit CUS2
CUZ1	Cuz1p
CWC15	U2-type spliceosomal complex subunit CWC15
CWC2	Cwc2p
CWC21	U2-type spliceosomal complex subunit CWC21
CWC22	U2-type spliceosomal complex subunit CWC22
CWC23	U2-type spliceosomal complex subunit CWC23
CWC24	U2-type spliceosomal complex subunit CWC24
CWC25	U2-type spliceosomal complex subunit CWC25
CWC27	putative peptidylprolyl isomerase CWC27
CWH41	Cwh41p
CWH43	Cwh43p
CWP1	Cwp1p
CWP2	Cwp2p
CYB2	Cyb2p
CYB5	Cyb5p
CYC1	cytochrome c isoform 1
CYC2	oxidoreductase
CYC3	holocytochrome c synthase CYC3
CYC7	cytochrome c isoform 2
CYC8	transcription regulator CYC8
CYK3	Cyk3p
CYM1	Cym1p
CYR1	adenylate cyclase
CYS3	cystathionine gamma-lyase CYS3
CYS4	cystathionine beta-synthase CYS4
CYT1	ubiquinol--cytochrome-c reductase catalytic subunit CYT1
CYT2	cytochrome c1 heme lyase CYT2
DAD1	Dad1p
DAD2	Dad2p
DAD3	Dad3p
DAD4	Dad4p
DAK1	dihydroxyacetone kinase
DAK2	dihydroxyacetone kinase
DAL1	allantoinase
DAL2	allantoicase
DAL3	ureidoglycolate hydrolase
DAL4	allantoin permease
DAL5	allantoate permease
DAL7	malate synthase DAL7
DAL80	Dal80p
DAL81	Dal81p
DAL82	Dal82p
DAM1	Dam1p
DAN1	Dan1p
DAN4	Dan4p
DAP1	Dap1p
DAP2	Dap2p
DAS1	SCF ubiquitin ligase complex subunit DAS1
DAS2	putative uridine kinase DAS2
DAT1	Dat1p
DBF2	serine/threonine-protein kinase DBF2
DBF20	serine/threonine-protein kinase DBF20
DBF4	protein serine/threonine kinase activating protein DBF4
DBP1	putative DEAD-box ATP-dependent RNA helicase DBP1
DBP10	putative ATP-dependent RNA helicase DBP10
DBP2	DEAD-box ATP-dependent RNA helicase DBP2
DBP3	RNA-dependent ATPase DBP3
DBP5	ATP-dependent RNA helicase DBP5
DBP6	putative ATP-dependent RNA helicase DBP6
DBP7	putative ATP-dependent RNA helicase
DBP8	ATP-dependent RNA helicase DBP8
DBP9	ATP-dependent DNA/RNA helicase
DBR1	RNA lariat debranching enzyme
DCC1	Dcc1p
DCD1	deoxycytidine monophosphate deaminase
DCG1	Dcg1p
DCI1	putative dodecenoyl-CoA isomerase DCI1
DCK1	Dck1p
DCN1	NEDD8 ligase DCN1
DCP1	Dcp1p
DCP2	decapping enzyme complex catalytic subunit
DCR2	phosphoprotein phosphatase
DCS1	5'-(N(7)-methyl 5'-triphosphoguanosine)-(mRNA) diphosphatase
DCS2	5'-(N(7)-methyl 5'-triphosphoguanosine)-(mRNA) diphosphatase
DCV1	Dcv1p
DCW1	putative mannan endo-1,6-alpha-mannosidase
DDC1	Ddc1p
DDI1	Ddi1p
DDI2	cyanamide hydratase
DDI3	cyanamide hydratase
DDL1	putative carboxylic ester hydrolase
DDP1	polyphosphatase DDP1
DDR2	Ddr2p
DDR48	DNA damage-responsive protein 48
DED1	DEAD-box ATP-dependent RNA helicase DED1
DED81	asparagine--tRNA ligase DED81
DEF1	DNA damage-responsive RNA polymerase-degradation factor DEF1
DEG1	pseudouridine synthase DEG1
DEP1	Rpd3L histone deacetylase complex subunit DEP1
DER1	derlin
DET1	acid phosphatase DET1
DFG10	putative polyprenol reductase
DFG16	Dfg16p
DFG5	putative mannan endo-1,6-alpha-mannosidase
DFM1	Dfm1p
DFR1	dihydrofolate reductase
DGA1	diacylglycerol O-acyltransferase
DGK1	diacylglycerol kinase
DGR1	Dgr1p
DGR2	Dgr2p
DHH1	DExD/H-box ATP-dependent RNA helicase DHH1
DHR2	RNA helicase
DIA1	Dia1p
DIA2	DNA-binding SCF ubiquitin ligase subunit DIA2
DIA3	putative acid phosphatase DIA3
DIA4	putative serine--tRNA ligase DIA4
DIB1	U4/U6-U5 snRNP complex subunit DIB1
DIC1	Dic1p
DID2	Did2p
DID4	ESCRT-III subunit protein DID4
DIE2	dolichyl-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-dolichol alpha-1,2- glucosyltransferase
DIF1	Dif1p
DIG1	Dig1p
DIG2	Dig2p
DIM1	putative dimethyladenosine transferase
DIN7	exodeoxyribonuclease DIN7
DIP2	snoRNA-binding rRNA-processing protein DIP2
DIP5	Dip5p
DIS3	exosome catalytic subunit DIS3
DIT1	Dit1p
DIT2	putative cytochrome P450
DJP1	Djp1p
DLD1	D-lactate dehydrogenase
DLD2	D-lactate dehydrogenase
DLD3	D-lactate dehydrogenase
DLS1	Dls1p
DLT1	Dlt1p
DMA1	ubiquitin-conjugating protein DMA1
DMA2	ubiquitin-conjugating protein DMA2
DMC1	recombinase DMC1
DML1	Dml1p
DNA2	bifunctional ATP-dependent DNA helicase/ssDNA endodeoxyribonuclease DNA2
DNF1	aminophospholipid-translocating P4-type ATPase DNF1
DNF2	aminophospholipid-translocating P4-type ATPase DNF2
DNF3	aminophospholipid-translocating P4-type ATPase DNF3
DNL4	DNA ligase (ATP) DNL4
DNM1	dynamin-related GTPase DNM1
DOA1	Doa1p
DOA4	ubiquitin-specific protease DOA4
DOC1	anaphase promoting complex subunit DOC1
DOG1	2-deoxyglucose-6-phosphatase
DOG2	2-deoxyglucose-6-phosphatase
DOM34	ribosome dissociation factor DOM34
DON1	Don1p
DOP1	Dop1p
DOS2	Dos2p
DOT1	histone methyltransferase DOT1
DOT5	thioredoxin peroxidase DOT5
DOT6	Dot6p
DPB11	protein kinase activating protein DPB11
DPB2	DNA polymerase epsilon noncatalytic subunit
DPB3	DNA polymerase epsilon noncatalytic subunit
DPB4	DNA polymerase epsilon noncatalytic subunit
DPH1	Dph1p
DPH2	Dph2p
DPH5	diphthine synthase
DPH6	diphthine--ammonia ligase
DPL1	sphinganine-1-phosphate aldolase DPL1
DPM1	dolichyl-phosphate beta-D-mannosyltransferase
DPP1	bifunctional diacylglycerol diphosphate phosphatase/phosphatidate phosphatase
DPS1	aspartate--tRNA ligase DPS1
DRE2	electron carrier DRE2
DRN1	Drn1p
DRS1	putative ATP-dependent RNA helicase
DRS2	aminophospholipid-translocating P4-type ATPase DRS2
DSC2	Dsc2p
DSC3	Dsc3p
DSD1	D-serine ammonia-lyase DSD1
DSE1	Dse1p
DSE2	Dse2p
DSE3	Dse3p
DSE4	endo-1,3(4)-beta-glucanase
DSF1	mannitol dehydrogenase DSF1
DSF2	Dsf2p
DSK2	Dsk2p
DSL1	Dsl1p
DSN1	MIND complex subunit DSN1
DSS1	Dss1p
DSS4	guanine nucleotide exchange factor DSS4
DST1	Dst1p
DTD1	D-tyrosyl-tRNA(Tyr) deacylase
DTR1	Dtr1p
DUF1	Duf1p
DUG1	metallodipeptidase
DUG2	glutamine amidotransferase subunit DUG2
DUG3	glutamine amidotransferase subunit DUG3
DUN1	serine/threonine protein kinase DUN1
DUO1	Duo1p
DUR1,2	bifunctional urea carboxylase/allophanate hydrolase
DUR3	Dur3p
DUS1	tRNA dihydrouridine synthase
DUS3	tRNA dihydrouridine synthase DUS3
DUS4	tRNA dihydrouridine synthase
DUT1	bifunctional dITP/dUTP diphosphatase
DXO1	Dxo1p
DYN1	dynein heavy chain
DYN2	dynein light chain
DYN3	dynein light intermediate chain
DYS1	deoxyhypusine synthase
EAF1	Eaf1p
EAF3	Eaf3p
EAF5	Eaf5p
EAF6	Eaf6p
EAF7	Eaf7p
EAP1	Eap1p
EAR1	Ear1p
EBP2	Ebp2p
EBS1	Ebs1p
ECI1	dodecenoyl-CoA isomerase
ECL1	Ecl1p
ECM1	Ecm1p
ECM10	Hsp70 family ATPase ECM10
ECM11	Ecm11p
ECM12	Ecm12p
ECM13	Ecm13p
ECM14	putative metallocarboxypeptidase
ECM15	Ecm15p
ECM16	ATP-dependent RNA helicase ECM16
ECM18	alpha/beta hydrolase family protein
ECM19	Ecm19p
ECM2	Ecm2p
ECM21	Ecm21p
ECM22	Ecm22p
ECM23	Ecm23p
ECM25	Ecm25p
ECM27	Ecm27p
ECM29	Ecm29p
ECM3	putative ATPase ECM3
ECM30	Ecm30p
ECM31	3-methyl-2-oxobutanoate hydroxymethyltransferase
ECM32	Ecm32p
ECM33	Ecm33p
ECM34	Ecm34p
ECM38	gamma-glutamyltransferase
ECM4	S-glutathionyl-(chloro)hydroquinone reductase
ECM5	Ecm5p
ECM7	Ecm7p
ECM8	Ecm8p
ECM9	Ecm9p
ECO1	Eco1p
ECT1	ethanolamine-phosphate cytidylyltransferase
EDC1	Edc1p
EDC2	Edc2p
EDC3	Edc3p
EDE1	Ede1p
EDS1	Eds1p
EEB1	medium-chain fatty acid ethyl ester synthase/esterase
EFB1	translation elongation factor 1 subunit beta
EFG1	Efg1p
EFM1	protein-lysine N-methyltransferase
EFM2	S-adenosylmethionine-dependent methyltransferase
EFM3	protein-lysine N-methyltransferase
EFM4	Efm4p
EFM5	protein-lysine N-methyltransferase
EFM6	putative protein-lysine N-methyltransferase
EFR3	Efr3p
EFT1	elongation factor 2
EFT2	elongation factor 2
EGD1	Egd1p
EGD2	Egd2p
EGH1	hydrolase
EGO2	Ego2p
EGO4	Ego4p
EGT2	Egt2p
EHD3	Ehd3p
EHT1	medium-chain fatty acid ethyl ester synthase/esterase
EIS1	Eis1p
EKI1	bifunctional choline kinase/ethanolamine kinase EKI1
ELA1	elongin A
ELC1	elongin C
ELF1	Elf1p
ELG1	Elg1p
ELM1	serine/threonine protein kinase ELM1
ELO1	fatty acid elongase ELO1
ELO2	fatty acid elongase ELO2
ELO3	fatty acid elongase ELO3
ELP2	Elongator subunit ELP2
ELP3	Elongator subunit ELP3
ELP4	Elongator subunit ELP4
ELP6	Elongator subunit ELP6
EMC1	Emc1p
EMC10	Emc10p
EMC2	Emc2p
EMC3	Emc3p
EMC4	chaperone EMC4
EMC5	Emc5p
EMC6	Emc6p
EMG1	18S rRNA pseudouridine methyltransferase
EMI1	Emi1p
EMI2	putative glucokinase
EMP24	Emp24p
EMP46	Emp46p
EMP47	Emp47p
EMP65	Emp65p
EMP70	Emp70p
EMT1	tRNA
EMT2	tRNA
EMT3	tRNA
EMT4	tRNA
EMT5	tRNA
EMW1	tetratricopeptide repeat-containing protein EMW1
ENA1	Na(+)/Li(+)-exporting P-type ATPase ENA1
ENA2	Na(+)-exporting P-type ATPase ENA2
ENA5	putative Na(+)-exporting P-type ATPase ENA5
ENB1	Enb1p
END3	End3p
ENO1	phosphopyruvate hydratase ENO1
ENO2	phosphopyruvate hydratase ENO2
ENP1	snoRNA-binding rRNA-processing protein ENP1
ENP2	ribosome biosynthesis protein ENP2
ENT1	epsin
ENT2	epsin
ENT3	Ent3p
ENT4	Ent4p
ENT5	Ent5p
ENV10	Env10p
ENV11	Env11p
ENV7	putative serine/threonine protein kinase ENV7
ENV9	Env9p
EOS1	Eos1p
EPL1	Epl1p
EPO1	Epo1p
EPS1	protein disulfide isomerase EPS1
EPT1	bifunctional diacylglycerol cholinephosphotransferase/ethanolaminephosphotransferase
ERB1	Erb1p
ERC1	Erc1p
ERD1	Erd1p
ERD2	Erd2p
ERF2	palmitoyltransferase ERF2
ERG1	squalene monooxygenase
ERG10	acetyl-CoA C-acetyltransferase
ERG11	sterol 14-demethylase
ERG12	mevalonate kinase
ERG13	hydroxymethylglutaryl-CoA synthase
ERG2	C-8 sterol isomerase ERG2
ERG20	bifunctional (2E,6E)-farnesyl diphosphate synthase/dimethylallyltranstransferase
ERG24	delta(14)-sterol reductase
ERG25	methylsterol monooxygenase
ERG26	sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating)
ERG27	3-keto-steroid reductase
ERG28	Erg28p
ERG29	Erg29p
ERG3	C-5 sterol desaturase
ERG4	delta(24(24(1)))-sterol reductase
ERG5	C-22 sterol desaturase
ERG6	sterol 24-C-methyltransferase
ERG7	lanosterol synthase ERG7
ERG8	phosphomevalonate kinase
ERG9	bifunctional farnesyl-diphosphate farnesyltransferase/squalene synthase
ERI1	Eri1p
ERJ5	Erj5p
ERO1	ER oxidoreductin
ERP1	Erp1p
ERP2	Erp2p
ERP3	Erp3p
ERP4	Erp4p
ERP5	Erp5p
ERP6	Erp6p
ERR1	phosphopyruvate hydratase ERR1
ERR2	phosphopyruvate hydratase ERR2
ERR3	phosphopyruvate hydratase ERR3
ERS1	cystinosin-like protein ERS1
ERT1	Ert1p
ERV1	flavin-linked sulfhydryl oxidase
ERV14	cornichon family protein
ERV15	Erv15p
ERV2	flavin-linked sulfhydryl oxidase
ERV25	Erv25p
ERV29	Erv29p
ERV41	Erv41p
ERV46	Erv46p
ESA1	NuA4 histone acetyltransferase complex catalytic subunit ESA1
ESBP6	Esbp6p
ESC1	Esc1p
ESC2	Esc2p
ESC8	Esc8p
ESF1	Esf1p
ESF2	RNA-binding ATPase activator ESF2
ESL1	Esl1p
ESL2	Esl2p
ESP1	separase
ESS1	peptidylprolyl isomerase ESS1
EST1	Est1p
EST2	Est2p
EST3	telomerase subunit EST3
ETP1	Etp1p
ETR1	Etr1p
ETS1-1	miscRNA
ETS1-2	miscRNA
ETS2-1	miscRNA
ETS2-2	miscRNA
ETT1	Ett1p
EUG1	protein disulfide isomerase EUG1
EXG1	glucan 1,3-beta-glucosidase
EXG2	glucan exo-1,3-beta-glucosidase
EXO1	Rad2 family nuclease EXO1
EXO5	Exo5p
EXO70	GTP-Rho binding exocyst subunit EXO70
EXO84	exocyst subunit EXO84
FAA1	long-chain fatty acid-CoA ligase FAA1
FAA2	medium-chain fatty acid-CoA ligase FAA2
FAA3	long-chain fatty acid-CoA ligase FAA3
FAA4	long-chain fatty acid-CoA ligase FAA4
FAB1	1-phosphatidylinositol-3-phosphate 5-kinase
FAD1	FMN adenylyltransferase
FAF1	Faf1p
FAL1	ATP-dependent RNA helicase FAL1
FAP1	Fap1p
FAP7	nucleoside-triphosphatase
FAR1	cyclin-dependent protein serine/threonine kinase inhibiting protein FAR1
FAR10	Far10p
FAR11	Far11p
FAR3	Far3p
FAR7	Far7p
FAR8	Far8p
FAS1	tetrafunctional fatty acid synthase subunit FAS1
FAS2	trifunctional fatty acid synthase subunit FAS2
FAT1	long-chain fatty acid transporter FAT1
FAT3	Fat3p
FAU1	5-formyltetrahydrofolate cyclo-ligase
FBA1	fructose-bisphosphate aldolase FBA1
FBP1	fructose 1,6-bisphosphate 1-phosphatase
FBP26	fructose-2,6-bisphosphatase
FCF1	rRNA-processing protein FCF1
FCF2	Fcf2p
FCP1	protein serine/threonine phosphatase
FCY1	cytosine deaminase
FCY2	purine-cytosine permease
FCY21	purine-cytosine permease
FCY22	purine-cytosine permease
FDC1	putative phenylacrylic acid decarboxylase FDC1
FDH1	formate dehydrogenase (NAD+)
FDH2	pseudo
FDO1	Fdo1p
FEN2	Fen2p
FES1	Fes1p
FET3	ferroxidase FET3
FET4	Fet4p
FET5	ferroxidase FET5
FEX1	fluoride transporter
FEX2	fluoride transporter
FHL1	Fhl1p
FHN1	Fhn1p
FIG1	Fig1p
FIG2	Fig2p
FIG4	phosphatidylinositol-3,5-bisphosphate 5-phosphatase
FIN1	Fin1p
FIP1	cleavage polyadenylation factor subunit FIP1
FIR1	Fir1p
FIS1	Fis1p
FIT1	Fit1p
FIT2	Fit2p
FIT3	Fit3p
FKH1	forkhead family transcription factor FKH1
FKH2	forkhead family transcription factor FKH2
FKS1	1,3-beta-D-glucan synthase
FKS3	putative 1,3-beta-D-glucan synthase
FLC1	flavin adenine dinucleotide transporter
FLC2	flavin adenine dinucleotide transporter FLC2
FLC3	putative flavin adenine dinucleotide transporter
FLO1	flocculin FLO1
FLO10	Flo10p
FLO11	Flo11p
FLO5	flocculin FLO5
FLO8	pseudo
FLO9	flocculin FLO9
FLR1	Flr1p
FLX1	flavin adenine dinucleotide transporter FLX1
FMC1	Fmc1p
FMN1	riboflavin kinase
FMO1	N,N-dimethylaniline monooxygenase
FMP10	Fmp10p
FMP16	Fmp16p
FMP23	Fmp23p
FMP25	Fmp25p
FMP27	Fmp27p
FMP30	N-acetylphosphatidylethanolamine-hydrolyzing phospholipase D
FMP32	Fmp32p
FMP33	Fmp33p
FMP40	Fmp40p
FMP41	Fmp41p
FMP42	Fmp42p
FMP45	Fmp45p
FMP46	putative redox protein
FMP48	protein kinase FMP48
FMP49	Fmp49p
FMP52	Fmp52p
FMS1	polyamine oxidase
FMT1	methionyl-tRNA formyltransferase
FOB1	replication fork barrier binding protein FOB1
FOL1	trifunctional dihydropteroate synthetase/dihydrohydroxymethylpterin pyrophosphokinase/dihydroneopterin aldolase FOL1
FOL2	GTP cyclohydrolase I
FOL3	dihydrofolate synthase
FOX2	bifunctional hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase FOX2
FPK1	serine/threonine protein kinase FPK1
FPR1	peptidylprolyl isomerase FPR1
FPR2	peptidylprolyl isomerase family protein FPR2
FPR3	peptidylprolyl isomerase FPR3
FPR4	peptidylprolyl isomerase FPR4
FPS1	Fps1p
FRA1	Fra1p
FRD1	fumarate reductase
FRE1	ferric/cupric-chelate reductase
FRE2	ferric/cupric-chelate reductase
FRE3	ferric-chelate reductase
FRE4	ferric-chelate reductase
FRE5	putative ferric-chelate reductase
FRE6	putative ferric-chelate reductase
FRE7	putative ferric-chelate reductase
FRE8	putative ferric-chelate reductase
FRK1	protein kinase FRK1
FRM2	type II nitroreductase
FRQ1	frequenin
FRS1	phenylalanine--tRNA ligase subunit beta
FRS2	phenylalanine--tRNA ligase subunit alpha
FRT1	Frt1p
FRT2	Frt2p
FSF1	Fsf1p
FSH1	putative serine hydrolase
FSH2	putative serine hydrolase
FSH3	putative serine hydrolase
FTH1	Fth1p
FTR1	high-affinity iron permease FTR1
FUB1	Fub1p
FUI1	uridine permease
FUM1	fumarase FUM1
FUN12	translation initiation factor eIF5B
FUN14	Fun14p
FUN19	Fun19p
FUN26	nucleoside transmembrane transporter FUN26
FUN30	DNA-dependent ATPase FUN30
FUR1	uracil phosphoribosyltransferase
FUR4	uracil permease
FUS1	Fus1p
FUS2	Fus2p
FUS3	mitogen-activated serine/threonine-protein kinase FUS3
FYV10	glucose-induced degradation complex subunit FYV10
FYV12	Fyv12p
FYV4	Fyv4p
FYV5	Fyv5p
FYV6	Fyv6p
FYV7	Fyv7p
FYV8	Fyv8p
FZF1	Fzf1p
FZO1	mitofusin
GAA1	GPI-anchor transamidase subunit GAA1
GAB1	GPI-anchor transamidase subunit GAB1
GAC1	protein phosphatase regulator GAC1
GAD1	glutamate decarboxylase GAD1
GAL1	galactokinase
GAL10	bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase
GAL11	Gal11p
GAL2	galactose permease GAL2
GAL3	transcriptional regulator GAL3
GAL4	galactose-responsive transcription factor GAL4
GAL7	UDP-glucose:hexose-1-phosphate uridylyltransferase
GAL80	transcription regulator GAL80
GAL83	Gal83p
GAP1	amino acid permease GAP1
GAR1	H/ACA snoRNP pseudouridylase subunit GAR1
GAS1	1,3-beta-glucanosyltransferase GAS1
GAS2	1,3-beta-glucanosyltransferase
GAS3	putative 1,3-beta-glucanosyltransferase
GAS4	1,3-beta-glucanosyltransferase
GAS5	1,3-beta-glucanosyltransferase
GAT1	Gat1p
GAT2	Gat2p
GAT3	Gat3p
GAT4	Gat4p
GBP2	single-stranded telomeric DNA-binding/mRNA-binding protein
GCD1	translation initiation factor eIF2B subunit gamma
GCD10	tRNA 1-methyladenosine methyltransferase subunit GCD10
GCD11	translation initiation factor eIF2 subunit gamma
GCD14	tRNA 1-methyladenosine methyltransferase subunit GCD14
GCD2	translation initiation factor eIF2B subunit delta
GCD6	translation initiation factor eIF2B catalytic subunit epsilon
GCD7	translation initiation factor eIF2B subunit beta
GCG1	gamma-glutamylcyclotransferase
GCN1	Gcn1p
GCN2	serine/threonine-protein kinase GCN2
GCN20	putative AAA family ATPase GCN20
GCN3	translation initiation factor eIF2B subunit alpha
GCN4	amino acid starvation-responsive transcription factor GCN4
GCN5	histone acetyltransferase GCN5
GCR1	transcription regulator GCR1
GCR2	Gcr2p
GCS1	Gcs1p
GCV1	glycine decarboxylase subunit T
GCV2	glycine decarboxylase subunit P
GCV3	glycine decarboxylase subunit H
GCY1	glycerol 2-dehydrogenase (NADP(+)) GCY1
GDA1	guanosine diphosphatase
GDB1	bifunctional 4-alpha-glucanotransferase/amylo-alpha-1,6-glucosidase
GDE1	glycerophosphocholine phosphodiesterase
GDH1	glutamate dehydrogenase (NADP(+)) GDH1
GDH2	glutamate dehydrogenase (NAD(+))
GDH3	glutamate dehydrogenase (NADP(+)) GDH3
GDI1	Gdi1p
GDS1	Gds1p
GDT1	putative ribosome biosynthesis protein GDT1
GEA1	Arf family guanine nucleotide exchange factor GEA1
GEA2	Arf family guanine nucleotide exchange factor GEA2
GEF1	Gef1p
GEM1	ERMES complex Ca(2+)-binding regulatory GTPase GEM1
GEP3	Gep3p
GEP4	phosphatidylglycerophosphatase
GEP5	Gep5p
GEP7	Gep7p
GET1	GET complex subunit GET1
GET2	GET complex subunit GET2
GET3	guanine nucleotide exchange factor GET3
GET4	Get4p
GEX1	glutathione exchanger
GEX2	glutathione exchanger
GFA1	glutamine--fructose-6-phosphate transaminase (isomerizing) GFA1
GFD1	Gfd1p
GFD2	Gfd2p
GGA1	ubiquitin-binding protein
GGA2	phosphatidylinositol 4-phosphate-binding protein
GGC1	Ggc1p
GIC1	Gic1p
GIC2	Gic2p
GID7	glucose-induced degradation complex subunit GID7
GID8	glucose-induced degradation complex subunit GID8
GIM3	tubulin-binding prefolding complex subunit GIM3
GIM4	tubulin-binding prefolding complex subunit GIM4
GIM5	Gim5p
GIN4	protein kinase GIN4
GIP1	protein phosphatase regulator GIP1
GIP2	Gip2p
GIP3	protein phosphatase regulator GIP3
GIP4	protein phosphatase regulator GIP4
GIR2	Gir2p
GIS1	histone demethylase GIS1
GIS2	mRNA-binding translational activator GIS2
GIS3	Gis3p
GIS4	Gis4p
GIT1	Git1p
GLC3	1,4-alpha-glucan branching enzyme
GLC7	type 1 serine/threonine-protein phosphatase catalytic subunit GLC7
GLC8	Glc8p
GLE1	nucleoporin GLE1
GLE2	RNA export factor GLE2
GLG1	glycogenin glucosyltransferase GLG1
GLG2	glycogenin glucosyltransferase GLG2
GLK1	glucokinase
GLN1	glutamate--ammonia ligase
GLN3	nitrogen-responsive transcriptional regulator GLN3
GLN4	glutamine--tRNA ligase
GLO1	lactoylglutathione lyase GLO1
GLO2	hydroxyacylglutathione hydrolase GLO2
GLO3	ADP-ribosylation factor GTPase-activating protein
GLO4	hydroxyacylglutathione hydrolase GLO4
GLR1	glutathione-disulfide reductase GLR1
GLT1	glutamate synthase (NADH)
GLY1	threonine aldolase GLY1
GMC1	putative oxidoreductase
GMC2	Gmc2p
GMH1	Gmh1p
GNA1	glucosamine 6-phosphate N-acetyltransferase
GND1	phosphogluconate dehydrogenase (decarboxylating) GND1
GND2	phosphogluconate dehydrogenase (decarboxylating) GND2
GNP1	glutamine permease GNP1
GNT1	glucose N-acetyltransferase
GON7	chromatin DNA-binding EKC/KEOPS complex subunit GON7
GOR1	glyoxylate reductase
GOS1	Gos1p
GOT1	Got1p
GPA1	guanine nucleotide-binding protein subunit alpha
GPA2	guanine nucleotide-binding protein subunit alpha
GPB1	Gpb1p
GPB2	Gpb2p
GPC1	glycerophosphocholine acyltransferase
GPD1	glycerol-3-phosphate dehydrogenase (NAD(+)) GPD1
GPD2	glycerol-3-phosphate dehydrogenase (NAD(+)) GPD2
GPG1	Gpg1p
GPH1	glycogen phosphorylase
GPI1	phosphatidylinositol N-acetylglucosaminyltransferase
GPI10	putative glycosylphosphatidylinositol-alpha 1,2 mannosyltransferase
GPI11	mannose-ethanolamine phosphotransferase GPI11
GPI12	N-acetylglucosaminylphosphatidylinositol deacetylase
GPI13	mannose-ethanolamine phosphotransferase GPI13
GPI14	glycosylphosphatidylinositol-alpha 1,4 mannosyltransferase I
GPI15	phosphatidylinositol N-acetylglucosaminyltransferase GPI15
GPI16	GPI-anchor transamidase subunit GPI16
GPI17	GPI-anchor transamidase GPI17
GPI18	GPI-anchor transamidase GPI18
GPI19	phosphatidylinositol N-acetylglucosaminyltransferase GPI19
GPI2	phosphatidylinositol N-acetylglucosaminyltransferase
GPI8	GPI-anchor transamidase
GPM1	phosphoglycerate mutase GPM1
GPM2	phosphoglycerate mutase family protein GPM2
GPM3	phosphoglycerate mutase family protein GPM3
GPN2	putative GTPase GPN2
GPN3	putative signal sequence-binding GTPase GPN3
GPP1	glycerol-1-phosphatase RHR2
GPP2	glycerol-1-phosphatase HOR2
GPR1	Gpr1p
GPT2	bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase GPT2
GPX1	glutathione peroxidase GPX1
GPX2	glutathione peroxidase GPX2
